node,node_order,path
SRSC1,1,SRSC1
SRSC2,1,SRSC2
HRSC1-L,1,HRSC1-L
HRSC-UP,1,HRSC-UP
HRSC-MID,1,HRSC-MID
HRSC-OUT,1,HRSC-OUT
SRSC2,2,SRSC1 SRSC2
HRSC1-L,2,SRSC2 HRSC1-L
HRSC-UP,2,SRSC2 HRSC-UP
HRSC-MID,2,HRSC-UP HRSC-MID
HRSC-OUT,2,HRSC-MID HRSC-OUT
HRSC-UP,3,SRSC1 SRSC2 HRSC-UP
HRSC-MID,3,SRSC2 HRSC-UP HRSC-MID
HRSC-OUT,3,HRSC-UP HRSC-MID HRSC-OUT
HRSC1-L,3,SRSC1 SRSC2 HRSC1-L
HRSC-UP,4,HRSC1 SRSC2 HRSC1-L HRSC-UP
HRSC-MID,4,SRSC1 SRSC2 HRSC-UP HRSC-MID
HRSC-OUT,4,SRSC2 HRSC-UP HRSC-MID HRSC-OUT
HRSC-OUT,5,SRSC1 SRSC2 HRSC-UP HRSC-MID HRSC-OUT
HRSC-MID,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID
HRSC-OUT,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT
